MOFname,smi
"mof_unit_pretest_1007.cif
",O1[C](O[V]2([O])(O[C](O[V]1(O/[C]=[C]\C=C/[C]/[C]=N/N=[C]/[C]/C=C\[C]=[C]/[O])(O[C]C#C[C]1[CH][CH][C]([C@@H](C1)S([O])([O])O)C#C[C][O])(O2)[O])c1ccc(c2nnc(c3ccc(cc3)C(=O)[O])nn2)cc1)[O])C#C[C@@]12CC[C@@]([C@@H](C1)[S@@]([O])O)(C[C@H]2S([O])([O])O)C#CC(=O)O[V][O].[CH2][CH][S@@]([O])O.[H].[H].[CH]=[CH].[N][N].[CH]=[CH].[O][V][O].[O].[O].[O]
"mof_unit_pretest_1008.cif
",C1(=C([C][CH2])[CH])O[Cu]234([Cu](N([C][CH2])[CH])(O1)(O[C](c1ccc([C])c(c1)Br)O2)(OC(=C([CH])[C][CH2])O3)O[C](c1ccc(c(c1)C#N)[C])O4)N([CH])[C][CH2].[H].[H]
"mof_unit_pretest_1009.cif
",[C](=O)[C]1[C@@H]2[C]([C]([C]3O[Cr]456O[Cr]7(O[C]([C@@]89[C@@H]%10[C@H]%11[C@]%12([C@@]%10([C@@H]8[C@H]%12[C@@H]9%11)I)[C]8O[Cr]9(O[Cr]%10(O[C](C#[C])O9)(O[C](C#CC#C[C]9O[Cr]%11O[Cr]%12(O[C]([C@]%13%14[C@@H]%15[C@@H]%16[C@]%13([C@H]%13[C@]%16([C]%16O[Cr]%17%18%19O[Cr]%20(O[C]([C]([C])[CH])O[Cr@](O%16)(O[C](C#[C])O%20)O[C](C#[C])O%19)(O[C](C#[C])O%18)O[C]([C]%16[C]([C@H]%18[C][CH][C@@H]%16%18)I)O%17)[C@@H]%15[C@@H]%14%13)I)O[Cr@](O[C](C([CH])([CH])[C])O%11)(O[C](C#[C])O%12)O9)(O[C])[O])O[Cr]O[C](C([CH])([CH])[C])O%10)O8)([O])[O])O4)(O[C](C#[C])O[Cr@@](O[C]O7)(O[C](C#[C])O5)O3)O[C](C#[C])O6)[C@@H]2[CH]1)I.[CH]=[CH].[CH]=[CH].[CH][C][C]I.[CH].[C]I.C(#[C])[C][O].C(#[C])[C]=O.[H].[I].[I].[O]
"mof_unit_pretest_101.cif
",[C]1([C])O[Zn]23([N])O[C]([C])O[Zn]([N])(O1)(O[C](c1c(c(c(c(c1F)F)[C])F)O)O3)O[C](c1c(c(c(c(c1O)F)[C])F)F)O2.[F].[F].[H].[H].[H].[OH].[O].[O].[O]
"mof_unit_pretest_1010.cif
",O1C(=C([CH])[CH])O[Cu]234(O[C](O[Cu]12(OC(=C([CH])[CH])O3)(O[C](O4)/C(=C/[C])/[C]([C])N(=O)=O)N([CH])[CH])/C(=C/[C])/[C]([C])/C=C\[C])N([CH])[CH].[CH].[H].[N].[O].[O]
"mof_unit_pretest_1011.cif
",[CH]=[N].C(=[N])[C][C]([CH][CH2])[C@H]([CH2])CC.[CH]([C][C](C[CH])[C@@H]([CH2])CC)[N][Ni@]1(=N[CH])N2C=C([C@@]34C[C@@H]([C@@](C5=CN6[N@]([CH]5)[Ni@@](=N[CH][C][C]C[CH2])([N][CH][C])N5C=C([CH][N@]5[Ni@]6(=N[CH][C][C]C[CH2])[N][CH])C([CH2])([CH2])[CH2])([C@@H](C3)C=O)CC4)C=O)[CH][N@]2[Ni@](=N[CH])([N][CH])N2C=C(C([CH2])([CH2])[CH2])[CH][N@]12.C(=[N])[C][C]C[CH2].C(=[N])[C][C]C[CH2].[CH][N][Ni]([N][CH])[N][CH].[CH][N][Ni]([N][CH][C][C]CC[C][C][CH])[N][CH][C][C]CC[C][C][CH][N][Ni]([N][CH][C])[N].[CH2][CH]C=O.[CH][CH].[CH][N][Ni]([N][CH])[N].[CH]([C][C@H]([CH2])CC)[CH2].C([C][C@@H]([CH2])CC)[CH].[CH2][CH2].[CH][CH].[CH].[H].[H].[H].[H].[H].[H].[H].[CH]=O
"mof_unit_pretest_1012.cif
",O1[C](O[V]2([O])(O[C](O[V]1(O[C]c1cc3c([C]Br)c(c(cc3c(c1)Br)Br)[C][C][O])(O[C][C]/C=C\[C]C#C/[C]=C(/C=[C]/[C][O])\Br)(O2)[O])c1cc2c3c(ccc(c3c(cc2c(c1)Br)Br)C(=O)O[V][O])Br)[O])c1c(cc(C#Cc2cc(c(cc2Br)C(=O)[O])Br)cc1)Br.[CH]=[C]Br.[CH]=[C]Br.[CH]=[CH].[O].[O][V][O]
"mof_unit_pretest_1013.cif
",[C]1(C(=[CH])/[C]=C/[C])O[Zn]23(N([C]=[CH])[CH])O[C]([C]([C]([C])/C=C\[C])[C][C][O])O[Zn](N(/[C]=C/C=[CH])[CH])(O1)(O[C](C(=[CH])[C]C=[CH])O2)O[C](/C(=C/[C])/[CH][C])O3.[CH]=[CH].[H].[C]=O.[O].[H].[O].[H]
"mof_unit_pretest_1014.cif
",[C]1(/C=[C]\O)O[Zn]23(N([C]O)[CH2])O[C](C4=CC=[C]C(=C4)[C]C(=[CH])O)O[Zn](N[CH])(O1)(O/C(=C(\[C]C)/C)/O2)O[C](C1=C(C(=[C]C(=C1)[C]C(=[CH])O)O)C)O3.[H]
"mof_unit_pretest_1015.cif
",C(=O)([C]=[C])O[Cr]12(OC(=O)[C]=[C])O[C](c3c4cc(cc(c4c(c4cc(cc(c34)C)[CH2])[C]3O[Cr]4(OC(=O)[C]=[C])(OC(=O)[C]=[C])O[C]([C]([C]/C=C(\[CH])/C)[C][C][CH])O[Cr](O3)([O])([O])O4)C)[CH2])O[Cr](O[C]([C]([C][CH]C(=[CH])C)[C][C][CH])O1)(O[C])([O])O2.[CH][C]O[Cr][O].[CH][C]O[Cr]O[C]/C=[C]/[CH].[CH].[CH].[CH].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H]
"mof_unit_pretest_1016.cif
",[C]1([C](/C=[C]/[CH][CH2])/C(=C/[C]CC)/[C])O[Zn]23(N4[C]([C]=[C]C=C4CC)F)O[C](C#[C])O[Zn](N4[C](C=[C][C]=C4[C]([CH])CC)F)(O1)(O[C](C1=C[C]=[C]C=C1)O2)O[C](C#[C])O3.[CH].[H].[H].[H]
"mof_unit_pretest_1017.cif
",[CH]=[N].[CH]=[N].[CH][N][Ni@@]1(=N[CH])N2C=C([C@@]34CC[C@@](C5=CN6[N@]([CH]5)[Ni@](=N[CH][C][C][C@H](C[C][C]/C=N/[Ni]([N][CH][C][C](C[CH2])[CH])[N][CH][C][C]CC[C][C])OC)([N][CH][C][C]5C[C@H]([C]([C]C=[N])[CH][CH]5)[O])N5C=C([CH][N@]5[Ni@]6(=N[CH][C][C][C@@H](C[C][C]/C=N/[Ni]([N][CH])[N][CH])OC)[N][CH][C][C]5C[C@@H]([C]([C]C=[N])[CH][CH]5)[O])C([CH2])([CH2])[CH2])(CC3)CC4)[CH][N@]2[Ni@@](=N[CH])(N2C(=C(C([CH2])([CH2])[CH2])[C]([N@@]12)C(=O)O)C(=O)O)[N][CH].[CH][N][Ni](N=[CH])[N][C]([C][C](C[CH2])[CH])C(=O)O.[CH][N][Ni](N=[CH])/N=[C]\C(=O)O.[CH2][CH2].[CH][CH].[CH][CH].[CH][CH].[CH2][CH2].[CH2][CH2].[CH2][CH2].[CH2][CH2].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[CH3].[CH3]
"mof_unit_pretest_1018.cif
",[C]1(C(=[CH])[CH])O[Cu]234([Cu](N([C]O[CH2])[CH])(O1)(O/C(=C(\[C]([C])[C]([CH][C])OC)/[CH][C])/O2)(O[C](C(=[CH])[CH])O3)O[C](/C(=C/[C])/[CH][C])O4)N([C]O[CH2])[CH].[CH].[H].[H].[H].[O][CH2].[H]
"mof_unit_pretest_1019.cif
",C\1(=C(/[C](/C=C(/[C]2O[Cr]3(O[Cr]4(O/C(=C\[CH])/O3)(O[C](C=[C])O[Cr]O[C](C3=c5ccccc5=C([C]=[C]3)[C]3O[Cr]O/C(=C\[C])/O[Cr]56(O/C(=C\[CH])/O[Cr](O5)([O])(O[C](/C(=C/[C](/C(=C/5\O[Cr@@]78O[C]([C]([C]C=[C])[C]C=[CH])O[Cr]9%10(OC(=[CH])O[Cr](O9)(O5)(O[C](/[C]=C/[C](/C(=[C]\[O])/O)O)O%10)O[C](C=[CH])O8)O[C]O7)/O)O)/O)O6)O[C])O3)O4)O2)([O])O[C])\O)O)\O)/O[Cr@@]23O[C]([C]([C]C=[C])[C]C=[CH])O[Cr]45(O[C]([C]=[CH])O2)O[Cr](O1)(O[C](/[C]=C/[C](/C(=[C]\[O])/O)O)O4)(O[C](C=[CH])O3)OC(=[CH])O5.[CH]=CC=[CH].[CH].[CH].[CH].[CH].[CH].[CH].[CH]=[CH].[H].[H].[H].[H].[H].[O].[O].[OH].[OH]
"mof_unit_pretest_102.cif
",[C]1(C2=CC(=[C]C(=C2)[C]CCC)[CH])O[Zn]23(N4[C]([C]=[C]C(=C4)C=[CH])CCC)O[C](C4=CC(=[C]C(=C4)[C]CCC)[CH])O[Zn](N4[C]([C]=[C]C(=C4)C=[CH])CCC)(O1)(O[C](C1=CC=[C]C(=C1)[C]/C=[C]/OC)O3)O[C](C1=CC(=[C]C=C1)[C]/C=[C]/OC)O2
"mof_unit_pretest_1020.cif
",C\1(=C(/[C][CH2])\[CH])/O[Cu]234([Cu](N([CH])[C][CH2])(O1)(O/C(=C/[CH])/O2)(O/C(=C(\[CH])/[C][CH2])/O3)O/C(=C\[CH])/O4)N([C]C#N)[C][CH2]
"mof_unit_pretest_1021.cif
",O1/C(=C/[CH]/C(=C/C(=O)O[V])/[S]([O])[O])/O[V]2O/C(=C\[CH]/C(=C/C(=O)[O])/S([O])([O])[O])/O[V]1(O2)(OC(=O)/C=[C]/[CH])(OC(=O)/C=[C]/[CH])[O].[CH]=[C]O[V][O].[CH][C][O].[O].[O].[O].S([O])O.[O].[S@](=O)([O])O.[H].[O].[H]
"mof_unit_pretest_1022.cif
",[C]1([C](/C=[C]/[CH])[C](/C=C(\[C])/O)[C])O[Zn]23(N4[C]([C]=[C]C(=C4)[CH2])O)O[C](C#[C])O[Zn](N4[CH]C(=[C][C]=C4[C]([C]C)O)C)(O1)(O/C(=C(/[CH][C])\[C]([C][CH])C)/O2)O[C](C#[C])O3.[CH].[H].[H].[H].[H].[H].[OH]
"mof_unit_pretest_1023.cif
",C\1(=C(\[CH][C])/C=[C])/O[Zn]23(N([CH][C])C=[CH])O[C](C([CH]NC)([CH]NC)[CH2])O[Zn](N(C=[CH])[CH][C])(O1)(O/C(=C(\C=[C])/[CH][C])/O2)O[C](C([CH]NC)([CH2])[CH2])O3.[CH2].[CH2].[H].[H].[NH].[NH]
"mof_unit_pretest_1024.cif
",[C]1(C2=CC(=[C]C=C2)O[CH2])O[Cu]234([Cu](N5[C](C=[C]C=C5OCCC)OCCC)(O1)(O[C](C1=CC=[C]C(=C1)O[CH2])O2)(O[C](C(=[CH])[C]C=[CH])O3)O[C](C(=[CH])[C]C=[CH])O4)N1[CH]C=[C]C=C1.[CH][CH].[CH][CH2].[H].[H].[H].[H].[H]
"mof_unit_pretest_1025.cif
",C\1(=C(/[C][CH]NC)\[CH])/O[Cu]234([Cu](N([C][CH2])[CH])(O1)(O[C](c1ccc(cc1)N1C(=O)C5=C6C(=C(C=[C]C6=[C]C=C5)NC)C1=O)O2)(O/C(=C(\[CH])/[C][CH2])/O3)O[C](c1cc(c(cc1)N1C(=O)C2=CC(=[C]C3=[C]C=CC(=C23)C1=O)N[CH])NC)O4)N([CH])[C][CH2].[H].[H]
"mof_unit_pretest_1026.cif
",O1[C](O[V]2([O])(O[C](O[V]1(O[C]C#[C])(O[C])(O2)[O])C#[C])[O])c1c(c(c2c(c1O)c1c(c3c(c([C]4O[V]5(O[C]C#[C])(O[C][C])(O[C](O[V]([O])(O4)([O])O5)C#[C])[O])c(c(c3c(c1O)O)O)C=O)O)c(c2O)O)O)C=O.[C].C(=[C]\C=O)(/[C]=C(/[C])\O)\O.C(=[C]\[C]=O)(/[C]=C(/[C])\[O])\O.[C]O.[C]O.[C][C].[C][C].[H].[H].[O].[H].[O].[H]
"mof_unit_pretest_1027.cif
",O1[C](O[Cr@]23O[C](O[Cr]45(O[C](O[Cr]1(O[C](O3)c1ccc(c3ccc(c6ccc(cc6)[C]=O)cc3)cc1)(O[C](O4)c1ccc(c3ccc(c4ccc(cc4)[C]=O)cc3)cc1N(=O)=O)O5)c1cc(c(C3=CC=C(c4ccc(cc4)[C]=O)[C]=C3)cc1)C)O[C](O2)c1ccc(c2ccc(c3ccc(cc3)C(=O)[O])cc2)cc1)c1ccc(c2ccc(c3c(cc(cc3)[C](O[Cr])O[Cr][O])C)cc2)cc1)c1ccc(c2ccc(c3ccc(cc3)C(=O)[O])cc2)cc1.[H].[O][Cr][O].[O]
"mof_unit_pretest_1028.cif
",C1(=C([CH])[CH])O[Cu]234([Cu](N([C]N)[CH])(OC(=C([CH])[CH])O2)(O1)(O[C](C(=[CH])[C]C1=C[C]=[C]C=C1C(=O)O)O4)O[C](C(=[CH])[C]C1=C(C=[C][C]=C1)C(=O)O)O3)N([C]N)[CH].[H].[H].[H].[H]
"mof_unit_pretest_1029.cif
",[C]1(C2=CC=[C]C=C2)O[Cr]2(O[C])(O[Cr]3O[C](c4ccc(c5ccc(cc5)[C]5O[Cr@@]67O[C](C8=CC=[C]C=C8)O[Cr](O[C])(O[Cr](O5)O[C](C5=CC(=[C][C]=[C]5)[CH])O6)(O[C])O[C](c5c(cc(c6ccc(c(c6)Cl)[C]6O[Cr]89%10O[C]([C](/C=C\[C])[C])O[Cr@@]%11(O[C](C%12=CC=[C][C]=[C]%12)O[Cr](O[C](C%12=CC=[C]C=C%12)O%10)(O8)(O6)O[C](C6=CC=C(C8=CC=[C]C(=C8)Cl)[C]=[C]6)O%11)O[C](C6=CC(=[C]C(=C6)[CH])[CH])O9)cc5)OCCC)O7)cc4)O[Cr@@](O1)(O[C](C1=[C][C]=[C]C(=C1)[CH])O3)O[C](c1c(cc(c3ccc(c(c3)Cl)[C]3O[Cr]456O[C]([C](/C=C\[C])[C])O[Cr@@]7(O[C](C8=[C][C]=[C]C=C8)O[Cr](O[C](C8=CC=[C]C=C8)O6)(O4)(O3)O[C](C3=[C][C]=C(C4=CC(=[C]C=C4)Cl)C=C3)O7)O[C](C3=CC(=[C]C(=C3)[CH])[CH])O5)cc1)OCCC)O2)O[C].[C]1=CC=[C]C=C1.[C]1=CC=[C]C=C1.[CH].[CH].[CH].[CH].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[O].[O].[O].[O].[O]CCC.[O]CCC
"mof_unit_pretest_103.cif
",C\1(=C(\[CH])/[C]Br)/O[Zn]23(N([C]Br)[C]Br)O/C(=C(/[CH])\[C]Br)/O[Zn](N([C]C=O)[C]C=O)(O1)(O/C(=C(/[C][CH]C=O)\[CH])/O2)O/C(=C(/[C][CH]C=O)\[CH])/O3
"mof_unit_pretest_1030.cif
",O1[C](O[V]2([O])(O[C](O[V]1(O[C]C#CC#C[C][O])(O[C]C1=C([C]=C3C(=C1O)c1ccc(c(c1C=[C]3)[C][O])[O])O)(O2)[O])C#CC#CC(=O)O[V][O])[O])c1c(c2-c3ccc(c(c3C=[C]c2c(c1O)Cl)C(=O)[O])[O])O.[H].[H].[O].[O][V][O].[Cl].[H].[H]
"mof_unit_pretest_1031.cif
",[C]1([C])O[Zn]23([N])O[C](C#CC([CH2])([CH]I)[CH2])O[Zn]([N])(O1)(O[C]([C])O2)O[C](C#CC([CH2])([CH2])[CH2])O3.[H].[H].[H].[H]
"mof_unit_pretest_1032.cif
",[C]1(c2c(c(c(C(=O)[O])cc2c2c(c(c(c(c2)OC)O[CH2])Cl)Cl)C(=[CH])[CH])Cl)O[Zn@@]23O[C](c4cc(c(cc4c4cc(cc(c4)Cl)OC)C(=O)O[Zn]O[C][C])c4ccccc4)O[Zn@@](O1)(O[C](c1cc(c(C(=O)[O])cc1c1c(cc(c(c1)OC)OC)Cl)/C(=C/[CH])/[CH])O2)O[C](c1c(c(c(C(=O)[O])c(c1c1cc(c(cc1Cl)Cl)Cl)Cl)/C(=[C]\Cl)/C=[C]/Cl)Cl)O3.[CH]=[C]Cl.[C]([C]/C(=C(\[C])/OC)/C(=[C]\Cl)/C=[CH])O[Zn].[C](=O)/C(=C(/[C])\[C]/C(=[C]/OC)/Cl)/C(=[C]/[C]=C/C=[CH])/Cl.[C](=[C]\OC)\OC.[C]OC.CO[C].CO[C]=[CH].CO[C].CO/C(=C/C(=[CH])[C]=[CH])/[C].CO[C].[CH].[CH].[C].[C](=[CH])Cl.[C]=O.[H].[H].[H].[H].[O].[O][Zn].[O][Zn].[O]
"mof_unit_pretest_1033.cif
",Br[C]1C(=CN2[N@]1[Ni@]13[N@@]4[C](Br)C(=CN4[Ni@]42[N@@]2[CH]C(=CN2[Ni@@]2(N5C=C([C@@]67[C@@H](C[C@@](C8=C(N(N([CH]8)[Ni])[Ni]N8[C](Br)C(=C[N]8)[CH][CH][CH])O)(C[C@@H]6O)CC7)O)[CH][N@]45)[N@]4[C](C(=CN4[Ni@]([N@@]4[CH]C(=C(N14)O)[C@@]14C[C@@H]([C@@](C5=CN(N([CH]5)[Ni])[Ni]n5c(c([CH])cn5)O)([C@@H](C1)O)CC4)O)([N@]1[CH]C(=C(N31)O)[C@]13C[C@H]([C@](C4=CN=N[CH]4)([C@H](C1)O)CC3)O)N1C=C([C]([N@@]21)O)[CH])[CH])O)[C@]12[C@H](C[C@]([C]3C=NN=C3O)(C[C@H]1O)CC2)O)/C=C/[CH])[CH][CH][CH].Br[C]1C(=C[N][N]1)[CH][CH][CH].C1(=NN=C[C]1[C])O.[H]
"mof_unit_pretest_1034.cif
",[C]1([C]([C]C=[CH])[C]I)O[Zn]23(N(/[C]=C/[CH])[CH])O[C](c4ccc(cc4I)N4C(=O)C(=[C]C(=[CH])C4=O)[CH])O[Zn](N(/[C]=C/[CH])[CH])(O1)(O[C](C(=[CH])[C]C=[CH])O2)O[C](c1ccc(cc1OC)N1C(=O)/C(=[C]\I)/[C]=C([CH])C1=O)O3
"mof_unit_pretest_1035.cif
",P(O[Ba]O[P@@](=O)(OCCN(=O)=O)C(=[CH])[C](/C=[C]\[C])[C])([O])C1=[C]C2=C(C=[C][C]=[C]2)C(=C1Cl)[P@](=O)(O[Ba][O])OCC.[P@](=O)(O[C@H](CN(=O)=O)Cl)([O])[C](/C=C(/[P@@](=O)([O])O[C@H]([CH]N(=O)=O)[N][O])\[C])[C].[H].[C](C)(O[P@@](=O)([O])[C]/[C]=C/C(=C/[C])/[C][C])Cl.[H].[CH](CCl)[N].P(=O)(=O)O[C]([CH])N(=O)=O.O=[P@@]([O])(OCC)[C](/C=[C]\[C])[C].[H].[H].[C]/C(=C\[C])/[CH].[H].[H].[H].[H].[O].[O].[Cl].[O]
"mof_unit_pretest_1036.cif
",C\1(=C(/[C]C=[CH])\[CH])/O[Zn]23(N(/[C]=C/[CH])[CH])O[C](c4ccc(cc4)[C])O[Zn](N(/[C]=C/[CH])[CH])(O1)(O/C(=C(/[C]C=[CH])\[CH])/O2)O[C](c1cc(C#N)c(cc1C#N)[C])O3.[H].[H]
"mof_unit_pretest_1037.cif
",O1[C](O[V]2(O[C](O[V]1(O2)(O[C]/[C]=C/C=[C]/[N]C(=O)C1=[C][C]=C(C=C1)C(=O)[N][C]/C=C\[C][C][O])(O/[C]=[C]\C=C/[C]/[C]=C/C=[C]/[C]/C=C\[C]=[C]/[O])[O])c1cc(c(N2C(=O)c3ccc4C(=O)N(C(=O)c5c4c3c(cc5)C2=O)c2c(cc(cc2)C(=O)[O])N(=O)=O)cc1)N(=O)=O)([O])[O])c1ccc(c2ccc(c3ccc(cc3)C(=O)O[V][O])cc2)cc1.[CH]=[CH].[CH]=[CH].[CH]=[CH].[C](=[C]\C=C/[C]=[C]\[O])\[O].[CH]=[CH].[CH]=[C]N(=O)=O.[O][V][O].[O]
"mof_unit_pretest_1038.cif
",[C]1(C2=CC(=[C]C(=C2)[CH])[C]c2ccccc2)O[Cu]234([Cu](N5[CH]C(=[C]C(=C5)[C]C=O)[C]C=O)(O[C](C5=CC(=[C]C(=C5)[C]c5ccccc5)[CH])O2)(O1)(O[C](c1c(cc(c(c1)C=O)N1C(=O)/C(=[C]\c2ccccc2)/[C]=C(C1=O)[C]C=O)C=O)O4)O[C](c1cc(c(cc1C=O)N1C(=O)/C(=[C]\c2ccccc2)/[C]=C(C1=O)[C]C=O)C=O)O3)N1[CH]C(=[C]C(=C1)[C]C=O)[C]C=O
"mof_unit_pretest_1039.cif
",C(=O)(/C(=C/[C]=[C]\C=[C]\O)/[C]([C])N)O[Cu@](N1C=Cc2c(=C1)c1c(c3=CN(C=Cc3c(c1N)N)[Cu@](OC(=O)C1=CC(=[C][C]=C1N)[C]/C=C(\[C])/O)([O])O[C]C#[C])c(c2N)N)([O])O[C]C#[C].[OH].[OH]
