MOFname,volume [A^3],weight [u],surface_area [m^2/g],volumetric_sa [m^2/cm^3],void_fraction,void_volume [cm^3/g],topology_num,metal_element,metal_group,functional_group_1,functional_group_2,organic_linker1,organic_linker2,CO2/N2_selectivity,heat_adsorption_CO2_P0.15bar_T298K [kcal/mol]
mof_unit_pretest_19,2873.520984,1107.9749800000002,3478.72,2227.315712072904,0.4154199999999999,0.6488,0,2,11,6,8,4,29,14.22726006,4.948911
mof_unit_pretest_20,1821.909507,1283.711,1247.59,1459.684753502371,0.2167699999999999,0.1852999999999999,0,1,12,19,10,4,7,32.82573611,6.621175
mof_unit_pretest_21,2492.1623050000003,1059.35664,3114.67,2198.4907173917904,0.4329199999999999,0.6132999999999998,0,1,12,17,17,1,28,8.364191619999998,4.905192
mof_unit_pretest_22,1347.684216,784.71544,1291.07,1248.3046026416462,0.20065,0.2074999999999999,0,2,11,12,14,4,13,31.52642488,6.377837
mof_unit_pretest_23,2264.969206,1495.88506,457.88,502.1509900011033,0.12567,0.1145999999999999,2,9,5,17,13,2,2,33.87359855,6.402529
mof_unit_pretest_24,1212.656776,621.5006599999999,2353.16,2002.635359442656,0.30135,0.3541,0,2,11,5,5,14,19,17.45588102,5.835593
mof_unit_pretest_25,3993.131734000001,3266.17824,0.0,0.0,0.0738,0.0543,3,4,6,19,7,1,11,40.83383262,8.105341000000001
mof_unit_pretest_26,2432.756583,1799.63768,1032.36,1268.1315757590141,0.2005899999999999,0.1633,2,9,5,3,3,18,19,47.83305961,6.679682000000001
mof_unit_pretest_27,1638.493106,978.31388,1497.16,1484.391772120511,0.2565399999999999,0.2586999999999999,2,9,5,20,20,4,11,13.02054117,5.577853
mof_unit_pretest_28,1298.343461,709.260263,1740.33,1578.6809437222057,0.2696799999999999,0.2973,0,1,12,1,1,4,16,16.26037363,5.46802
mof_unit_pretest_29,2002.451074,868.39342,2712.76,1953.496824493788,0.3866999999999999,0.537,0,1,12,14,8,14,27,11.75062397,4.967974
mof_unit_pretest_30,1534.629101,951.66213,1482.66,1526.7490393531286,0.2255699999999999,0.2190999999999999,0,2,11,4,12,4,18,17.95802711,6.072034
mof_unit_pretest_31,2033.553469,995.58428,2540.58,2065.3898372319686,0.31956,0.3931,5,12,10,5,5,1,10,25.39120983,5.803627
mof_unit_pretest_32,2776.2598350000003,1199.98268,3117.28,2237.367921266182,0.3657799999999999,0.5096,0,2,11,9,11,24,29,12.4541596,4.956232
mof_unit_pretest_33,920.860707,791.1949400000002,791.22,1128.8429936421733,0.1735899999999999,0.1217,0,2,11,4,16,5,13,19.18901518,6.3690370000000005
mof_unit_pretest_34,4529.021154,1287.85344,4701.36,2219.894459785916,0.4900899999999999,1.0379,0,1,12,11,12,25,27,12.9285465,5.32066
mof_unit_pretest_35,1348.618265,996.19844,0.0,0.0,0.0991699999999999,0.0809,2,9,5,10,5,5,24,27.13887544,6.894887
mof_unit_pretest_36,704.9624269999999,488.949783,1210.82,1394.519524616598,0.2193799999999999,0.1905,0,1,12,8,1,10,11,17.46808633,5.769334
mof_unit_pretest_37,2345.350561,1976.672576,511.79,716.2514148356379,0.10188,0.0728,1,10,2,14,10,50,57,25.36073055,6.365133
mof_unit_pretest_38,5140.2653740000005,2575.1096,2450.29,2038.329505238417,0.36068,0.4335999999999999,5,12,10,14,3,1,22,12.51165092,4.724266
mof_unit_pretest_39,2877.707458,1089.7238,3371.9,2120.2701848302413,0.36291,0.5771,0,1,12,13,12,8,14,17.41426633,5.823179
mof_unit_pretest_40,3602.187048,1759.70112,2413.59,1957.8655922022924,0.2998299999999999,0.3695999999999999,0,1,12,13,3,13,28,24.81433562,5.840558000000001
mof_unit_pretest_41,899.183282,621.99964,0.0,0.0,0.13385,0.1165,0,1,12,16,2,10,21,19.69229759,6.266769999999999
mof_unit_pretest_42,1123.08791,759.3437599999999,834.02,936.3708122242133,0.12587,0.1121,0,1,12,10,10,4,9,59.69567745,6.895952
mof_unit_pretest_43,1354.616724,645.56358,2364.14,1870.8652378771658,0.31035,0.3921999999999999,0,2,11,13,13,11,16,13.79875321,5.292586
mof_unit_pretest_44,2991.79617,1837.237078,990.93,1010.4687861999522,0.14273,0.14,2,9,5,6,1,16,23,51.64056543,6.704681
mof_unit_pretest_45,4149.367207,2021.33396,2226.72,1801.2273732004771,0.2963799999999999,0.3664,3,4,6,8,11,6,17,29.49546395,5.755008
mof_unit_pretest_46,3270.2097,2408.699558,580.98,710.5832057827524,0.1372599999999999,0.1121999999999999,2,9,5,1,17,17,18,30.32731763,7.059143
mof_unit_pretest_47,938.653499,571.390806,1686.1,1704.3469165779422,0.25901,0.2561999999999999,0,2,11,1,1,4,5,15.12507064,5.455203
mof_unit_pretest_48,1242.33069,689.25392,1558.05,1435.3907646694986,0.22741,0.2467999999999999,0,1,12,18,18,5,26,24.04554404,6.075003
mof_unit_pretest_49,1127.804158,851.495362,921.56,1155.3642830174172,0.1637599999999999,0.1305999999999999,0,2,11,1,8,4,4,25.23735653,6.745147
mof_unit_pretest_50,1765.70681,719.6469599999999,2821.79,1909.7315341990839,0.40404,0.5969999999999999,0,2,11,6,6,4,8,8.823012116000001,4.796126
mof_unit_pretest_51,2986.77669,1558.42402,1583.08,1371.6157662374087,0.2157,0.249,0,2,11,15,13,11,29,18.68721541,5.91585
mof_unit_pretest_52,11166.141209,7285.699359999999,1381.28,1496.5684329302983,0.3160399999999999,0.2917,6,1,12,19,19,15,19,27.95283637,6.29884
mof_unit_pretest_53,3204.377551,1076.15524,3618.77,2018.0826639244838,0.4119999999999999,0.7388,0,2,11,5,16,3,5,13.86140025,5.322178
mof_unit_pretest_54,3930.736319,2932.93528,0.0,0.0,0.1420799999999999,0.1147,3,4,6,3,3,11,15,41.80173198,6.872482000000001
mof_unit_pretest_55,2060.870761,1057.616053,1686.12,1436.8534744966357,0.2341699999999999,0.2747999999999999,0,1,12,13,1,13,21,20.37448745,5.770457
mof_unit_pretest_56,2002.77891,968.6164,2332.88,1873.5182787083027,0.36112,0.4496999999999999,0,2,11,17,17,4,27,16.78926045,4.87366
mof_unit_pretest_57,8703.81221,4576.48448,2084.91,1820.3567989015014,0.32743,0.375,0,1,12,20,8,14,14,15.37905788,5.113114
mof_unit_pretest_58,7759.924248,3678.438611,2818.58,2218.6210182045493,0.4261699999999999,0.5413999999999999,4,1,12,1,20,38,40,16.99043845,5.250892
mof_unit_pretest_59,5361.125859000001,3172.67688,0.0,0.0,0.17982,0.183,5,12,10,18,14,1,22,22.58097842,6.756411999999999
mof_unit_pretest_60,2297.843019,1440.45008,1378.37,1434.7967841852842,0.2251199999999999,0.2162999999999999,2,9,5,3,16,4,17,14.29292785,5.749389
mof_unit_pretest_61,1835.529738,1071.70676,463.77,449.6389481364225,0.13263,0.1368,0,1,12,7,20,10,29,40.03548747,6.6949380000000005
mof_unit_pretest_62,1273.934725,790.96736,1596.3,1645.7832059415823,0.2279699999999998,0.2210999999999999,0,1,12,2,16,10,27,11.81623426,5.771527
mof_unit_pretest_63,2885.593213,1440.54822,2826.02,2342.689060630307,0.3797499999999999,0.4581,0,2,11,3,15,14,29,15.50823143,5.2610790000000005
mof_unit_pretest_64,3175.972883,1450.430826,3474.89,2635.1662705718363,0.37733,0.4975999999999999,2,9,5,1,17,18,20,27.88096559,6.435694
mof_unit_pretest_65,2308.995242,1877.612676,512.92,692.5949655835883,0.1176599999999999,0.0870999999999999,1,10,2,5,9,42,57,29.12933441,5.903367
mof_unit_pretest_66,807.457069,623.47524,623.82,799.844919621638,0.11388,0.0888,0,2,11,15,12,10,13,28.76097503,6.729953
mof_unit_pretest_67,1115.0188,667.61216,1302.86,1295.348198179886,0.2041699999999999,0.2054,0,2,11,20,20,14,22,16.54275423,6.052718
mof_unit_pretest_68,3195.946373,2436.5309,819.97,1038.047267457099,0.1507599999999998,0.1191,2,9,5,13,4,8,16,40.73790669,6.589752000000001
mof_unit_pretest_69,1618.875012,989.59984,991.71,1006.6481865454124,0.1502999999999999,0.1481,0,1,12,8,13,11,17,32.86073154,6.829721000000001
mof_unit_pretest_70,1595.883568,1457.367,415.22,629.6405920070409,0.1012899999999998,0.0667999999999999,2,9,5,4,16,12,18,14.274235,6.442126999999999
mof_unit_pretest_71,3847.294236,1657.14,2824.67,2020.3110640756563,0.32621,0.4561,2,9,5,5,14,7,18,53.93148842,6.743413
mof_unit_pretest_72,1083.1595109999998,619.12608,2223.17,2110.114785499419,0.2810699999999999,0.2960999999999999,0,1,12,14,14,5,17,19.25061033,5.918114
mof_unit_pretest_73,1791.273742,887.66464,2161.41,1778.5695107200065,0.35843,0.4355999999999999,0,2,11,17,19,1,26,11.78417117,5.414332
mof_unit_pretest_74,1481.678427,905.61568,975.82,990.3903882836105,0.1548799999999999,0.1526,0,1,12,5,18,12,18,27.11817261,6.713894
mof_unit_pretest_75,673.271851,571.39752,0.0,0.0,0.09625,0.0683,0,2,11,19,19,10,11,87.94253566,8.766683999999998
mof_unit_pretest_76,1922.138401,1191.622469,1104.15,1136.6554309102007,0.18695,0.1816,0,1,12,1,13,13,16,30.01715152,6.186185
mof_unit_pretest_77,1420.577395,1196.34704,0.0,0.0,0.05952,0.0425999999999999,2,9,5,9,9,5,2,111.2950997,9.841972
mof_unit_pretest_78,1657.325834,1438.81732,0.0,0.0,0.05451,0.0378,3,4,6,5,13,5,24,27.88407813,7.305707
mof_unit_pretest_79,5135.054046,2851.24078,1485.65,1369.7840614496765,0.2650799999999999,0.2874999999999999,6,2,11,8,10,9,9,22.14181167,5.688804
mof_unit_pretest_80,1622.3363869999998,1133.33268,1304.08,1512.751051889051,0.2274799999999999,0.1961,0,2,11,3,14,9,13,15.17341797,6.3381300000000005
mof_unit_pretest_81,2935.906056,1699.84404,1930.56,1856.0811147964323,0.3584199999999999,0.3728,0,2,11,19,3,22,29,20.78178285,6.167477
mof_unit_pretest_82,7601.19028,2560.938,3576.52,2000.8975120855232,0.5202399999999999,0.9299,2,9,5,2,2,28,28,30.40290463,5.96201
mof_unit_pretest_83,1782.620844,901.55428,1745.51,1465.8919723130275,0.23733,0.2826,0,1,12,16,16,13,19,14.30214339,5.5444260000000005
mof_unit_pretest_84,944.265195,591.43008,1400.35,1456.440505177358,0.22745,0.2187,0,2,11,10,10,10,17,28.06664677,6.5041720000000005
mof_unit_pretest_85,2452.176083,2316.951416,176.44,276.82738497474065,0.04274,0.0271999999999999,1,10,2,6,17,42,57,46.84726328,7.920886999999999
mof_unit_pretest_86,1831.474881,837.4986599999999,2529.2,1920.4944372393145,0.2997799999999999,0.3947999999999999,0,1,12,5,20,16,19,12.42552744,4.704985
mof_unit_pretest_87,8757.478516999998,5985.13296,1079.39,1224.9541645291738,0.2279799999999999,0.2009,0,1,12,9,10,15,22,24.98010636,6.343223
mof_unit_pretest_88,1864.236058,1355.4882,1134.69,1369.9943972515298,0.2343599999999999,0.1940999999999999,0,2,11,17,17,1,7,36.91381721,6.412898
mof_unit_pretest_89,3820.805768,1284.45348,3326.38,1856.8721644821237,0.4238199999999999,0.7591999999999999,0,2,11,5,16,3,15,14.83463831,6.016611
mof_unit_pretest_90,2782.048191,1869.93672,0.0,0.0,0.0992299999999999,0.0889,2,9,5,17,5,10,28,35.41748172,7.295275
mof_unit_pretest_91,1864.736673,915.3506000000002,2285.94,1863.29454213011,0.3266399999999999,0.4007,0,1,12,9,20,13,16,14.59998666,5.589674
mof_unit_pretest_92,3907.819254,3338.07328,0.0,0.0,0.0659299999999999,0.0465,3,4,6,19,19,4,14,70.95828911,8.56789
mof_unit_pretest_93,908.701268,841.3569199999998,0.0,0.0,0.0477599999999999,0.0310999999999999,0,1,12,7,19,10,21,47.38307386,8.153132000000001
mof_unit_pretest_94,1149.0473,736.1384,1379.67,1467.7210180825057,0.2109199999999999,0.1983,0,1,12,17,11,11,14,32.53898479,6.296852
mof_unit_pretest_95,1679.695834,779.3764599999998,2568.74,1979.1718897955134,0.3312899999999999,0.4299999999999999,0,1,12,5,5,16,24,11.41180604,5.394302
mof_unit_pretest_96,2233.710764,1095.10232,1823.89,1484.8176808884687,0.2141299999999999,0.263,0,2,11,12,14,16,23,23.2121564,6.25997
mof_unit_pretest_97,4684.725017,4759.53905,718.56,1212.2454268782972,0.20271,0.1202,3,4,6,4,16,17,23,20.81684933,5.245294
mof_unit_pretest_98,1572.472031,777.3192799999998,2227.8,1828.6872461380153,0.3235099999999999,0.3941,0,1,12,8,16,1,17,13.87781189,5.165285
mof_unit_pretest_99,2053.717876,1106.00216,1622.31,1450.7606360680518,0.25435,0.2843999999999999,0,2,11,5,17,9,18,24.03168971,5.749308999999999
mof_unit_pretest_100,1144.401174,673.107573,1746.52,1705.7935642533441,0.2686299999999999,0.275,0,1,12,11,1,11,14,14.12301712,5.257776
mof_unit_pretest_101,1121.100617,781.013866,1375.84,1591.581236676251,0.2278599999999999,0.197,0,1,12,10,1,10,26,16.76279209,5.428269
mof_unit_pretest_102,3009.992883,1165.90236,3075.55,1978.1819313727228,0.3714,0.5774,0,1,12,11,7,17,18,15.98836825,5.483103
mof_unit_pretest_103,1147.50538,992.7398,855.4199999999998,1228.872510692641,0.2081099999999999,0.1449,0,1,12,8,3,1,4,25.31322078,5.903717
mof_unit_pretest_104,1122.824457,975.67866,0.0,0.0,0.0413299999999999,0.0286,0,2,11,9,20,14,22,43.09127361,8.853197
mof_unit_pretest_105,4312.236264,1557.18168,3154.77,1891.6952209533958,0.39283,0.6551,2,9,5,6,6,26,26,11.94418169,5.328795
mof_unit_pretest_106,5135.748307,2827.87712,1837.93,1680.4767000585116,0.2989699999999999,0.327,5,12,10,19,19,1,24,19.56361508,5.235513
mof_unit_pretest_107,1148.424853,776.44822,1444.87,1622.1291034369376,0.2425799999999999,0.2160999999999999,0,2,11,19,3,11,14,17.14785698,5.915393
mof_unit_pretest_108,1688.117763,1391.50764,0.0,0.0,0.10019,0.0732,3,4,6,2,2,5,14,96.15608372,7.372283
mof_unit_pretest_109,2259.884002,853.81876,3291.08,2064.7368584001556,0.4098699999999999,0.6532999999999999,0,2,11,13,13,2,14,9.334486744,5.65405
mof_unit_pretest_110,5147.999759,2415.557053,2581.2,2011.1625077592855,0.3546199999999999,0.4551,5,12,10,1,1,4,24,12.56424873,5.468529
mof_unit_pretest_111,774.386699,595.00888,801.9299999999998,1023.1722413533699,0.15975,0.1252,0,1,12,10,20,5,22,21.95529715,5.998167
mof_unit_pretest_112,1055.412045,817.42444,0.0,0.0,0.0,0.0,0,1,12,18,18,10,25,32.79344801,9.4903
mof_unit_pretest_113,2375.61512,1330.69746,723.0399999999998,672.5309839019201,0.18795,0.2021,2,9,5,13,13,2,25,56.73471372,6.083343
mof_unit_pretest_114,2378.207486,1273.451502,2222.63,1976.2713116961454,0.34087,0.3834,0,1,12,8,1,18,22,16.39685133,5.334199
mof_unit_pretest_115,4331.763479,2426.9078,1982.81,1844.6601623904687,0.32773,0.3523,3,4,6,4,4,17,25,27.37365869,4.966264
mof_unit_pretest_116,1995.919925,1845.051,0.0,0.0,0.0,0.0,2,9,5,14,15,2,16,5.924479868,9.482519000000002
mof_unit_pretest_117,1982.539321,1170.20828,1278.93,1253.5303631796396,0.20729,0.2114999999999999,0,1,12,9,16,10,18,26.15137631,5.817625
mof_unit_pretest_118,4161.039632,2505.8078,1092.69,1092.6714588836005,0.17634,0.1763,3,4,6,14,11,6,17,11.00671795,7.538473
mof_unit_pretest_119,1689.563547,1033.70008,0.0,0.0,0.1303,0.1283,0,1,12,18,13,16,24,56.02925556,7.0201080000000005
mof_unit_pretest_120,2867.604392,2060.612156,922.32,1100.5388369473633,0.1906499999999999,0.1598,1,10,2,16,2,55,57,25.91594815,7.185361
mof_unit_pretest_121,7720.197765999998,2984.9522,3452.99,2216.925005715499,0.40494,0.6307,8,1,12,3,7,35,35,8.557557095,5.722606
mof_unit_pretest_122,2792.356811,1845.08476,0.0,0.0,0.10611,0.0966999999999999,2,9,5,9,13,16,20,17.87452741,7.906522
mof_unit_pretest_123,958.775758,783.3174799999998,0.0,0.0,0.04052,0.0298999999999999,0,1,12,13,10,1,5,16.31514308,9.373349
mof_unit_pretest_124,1747.026275,807.57984,2467.52,1894.0587236278864,0.35363,0.4607,0,2,11,8,8,1,8,22.93869682,5.629371
mof_unit_pretest_125,1688.329673,1410.67958,0.0,0.0,0.08641,0.0623,3,4,6,12,9,5,14,49.06303552,7.898252
mof_unit_pretest_126,2870.00239,1080.95294,3543.17,2215.966777364568,0.4267799999999999,0.6824,0,2,11,16,16,4,29,9.961563974,4.452032
mof_unit_pretest_127,1140.733634,754.41688,0.0,0.0,0.1321099999999998,0.1203,0,1,12,14,6,4,22,24.6116065,6.549527
mof_unit_pretest_128,904.869643,641.4092400000001,804.52,946.962463860636,0.1567699999999999,0.1332,0,2,11,8,15,1,10,38.90448439,6.542976
mof_unit_pretest_129,3095.555167,2438.22875,1110.27,1452.149170424857,0.2241199999999999,0.1714,3,4,6,5,4,13,21,20.78469527,5.6947220000000005
mof_unit_pretest_130,1346.448317,713.32014,1855.38,1632.2038403248641,0.2508799999999999,0.2852,0,1,12,16,5,4,13,21.17823032,5.85266
mof_unit_pretest_131,676.382471,513.40436,0.0,0.0,0.09492,0.0753,0,2,11,6,6,10,14,51.14021337,7.549067999999998
mof_unit_pretest_132,3729.301621,1917.15568,1791.88,1529.626922834018,0.3567299999999999,0.4178999999999999,2,9,5,19,19,2,7,17.13998273,5.583475
mof_unit_pretest_133,2386.317002,1776.6962600000002,204.39,252.69195910809853,0.12292,0.0994,2,9,5,19,4,2,23,75.4366802,8.347532000000001
mof_unit_pretest_134,1120.992986,613.5217200000001,1759.58,1599.126389449774,0.27628,0.3039999999999999,0,2,11,20,20,4,4,12.48769999,5.340487
mof_unit_pretest_135,1947.266243,1698.61504,0.0,0.0,0.0933399999999998,0.0643999999999999,3,4,6,8,3,1,15,81.28921491,8.259375
mof_unit_pretest_136,1618.968537,1204.33104,0.0,0.0,0.1126,0.0912,2,9,5,20,17,1,2,55.64127948,7.4920149999999985
mof_unit_pretest_137,1096.329669,657.25864,853.7799999999999,849.9391612508489,0.1571799999999999,0.1579,0,1,12,16,20,10,26,32.80552658,6.705356
mof_unit_pretest_138,1619.654037,1164.43128,817.23,975.6243535101731,0.15448,0.1293999999999999,2,9,5,8,20,12,22,36.00516495,6.543727
mof_unit_pretest_139,4199.716173,1982.593916,2181.23,1709.8657645280905,0.4062399999999999,0.5181999999999999,1,10,2,3,3,43,54,18.23175077,5.803796
mof_unit_pretest_140,1755.474886,781.3046799999998,2632.56,1945.587688106888,0.3738699999999999,0.5059,0,1,12,9,9,4,26,15.15622531,5.031015
mof_unit_pretest_141,1135.03822,1171.33412,0.0,0.0,0.08211,0.0478999999999999,0,2,11,16,2,22,24,32.98609899,7.951307
mof_unit_pretest_142,2398.403558,872.2229,3500.67,2113.990951025433,0.44472,0.7364,0,2,11,2,2,16,26,10.83897848,5.390651999999999
mof_unit_pretest_143,4951.496709,2749.5904,1767.66,1629.9600826511999,0.2388,0.259,3,4,6,9,20,7,23,17.38975965,5.464942
mof_unit_pretest_144,5372.930279,2397.57752,2032.39,1505.9662133055558,0.38704,0.5222999999999999,2,9,5,19,8,3,3,14.9368503,5.97393
mof_unit_pretest_145,1129.446519,573.13892,2290.0,1929.640644805874,0.3133199999999999,0.3718,0,1,12,16,16,1,11,9.814337462,5.101187
mof_unit_pretest_146,1119.5682880000002,609.21078,1697.94,1534.2144076114694,0.2446699999999998,0.2707999999999999,0,1,12,7,7,4,11,14.28023539,5.599216
mof_unit_pretest_147,2263.774718,905.97944,2811.41,1868.3405861426365,0.33426,0.503,0,2,11,7,7,2,14,14.86757338,5.519496
mof_unit_pretest_148,1952.093122,1496.63348,655.99,835.1392018594885,0.1433899999999999,0.1126,3,4,6,10,20,11,22,49.01277444,7.11009
mof_unit_pretest_149,1592.644867,1153.0728800000002,1092.36,1313.2588207152776,0.2041699999999999,0.1698,0,1,12,9,2,1,17,27.90610623,6.131951
mof_unit_pretest_150,2590.148488,1307.0022800000002,1985.87,1663.9843004751997,0.26234,0.3130999999999999,5,12,10,7,17,4,22,13.46416258,5.941175
mof_unit_pretest_151,1818.893415,1246.05072,1477.67,1680.9417045255022,0.26639,0.2341999999999999,0,2,11,9,2,1,26,14.44231104,5.805659
mof_unit_pretest_152,1103.239873,667.5724,1177.42,1183.0594206476455,0.18886,0.188,0,2,11,15,16,4,24,32.92136542,6.099853
mof_unit_pretest_153,1684.0498350000005,901.82202,1748.32,1554.653282451048,0.2602999999999999,0.2927,0,2,11,16,11,4,6,16.02681519,5.648513
mof_unit_pretest_154,1825.983447,1529.341942,582.53,810.1637092520426,0.11143,0.0801,1,10,2,5,1,44,46,18.79535645,6.5143830000000005
mof_unit_pretest_155,1824.129242,1019.55268,1492.66,1385.3569448148514,0.19028,0.2049999999999999,0,1,12,16,16,10,29,53.69844884,7.366952
mof_unit_pretest_156,2266.176141,1590.66252,769.75,897.1825313782703,0.13782,0.1182,0,1,12,11,10,14,14,55.09828224,6.698426
mof_unit_pretest_157,1573.369733,712.7009,2364.42,1778.4754162069032,0.2514699999999999,0.3342999999999999,0,2,11,20,16,12,23,14.24850867,5.03126
mof_unit_pretest_158,1080.225789,853.8158199999998,0.0,0.0,0.0,0.0,0,2,11,13,19,12,22,136.8309415,8.124383
mof_unit_pretest_159,1795.415226,961.91198,1654.81,1472.1948447184984,0.2321999999999999,0.261,0,2,11,6,9,4,26,20.00590045,5.715706
mof_unit_pretest_160,1817.645851,1488.64248,0.0,0.0,0.0697099999999999,0.0512999999999999,2,9,5,19,15,2,19,70.49067018,8.891691999999999
mof_unit_pretest_161,1939.1431760000005,1574.94686,0.0,0.0,0.0643299999999999,0.0476999999999999,3,4,6,5,19,1,9,69.40245183,7.608714999999998
mof_unit_pretest_162,2239.6688710000003,1941.833716,0.0,0.0,0.0439599999999999,0.0304999999999999,1,10,2,13,14,49,57,70.34043239,6.987013
mof_unit_pretest_163,1927.881551,1860.98176,0.0,0.0,0.0417999999999999,0.0261,2,9,5,19,10,13,24,47.62180931,8.558396999999998
mof_unit_pretest_164,2256.957162,1023.98136,2626.72,1978.9245761994114,0.3146499999999999,0.4176,0,2,11,11,5,13,17,14.27652264,5.754997
mof_unit_pretest_165,1138.466116,696.18534,1625.54,1650.627785625344,0.2278999999999999,0.2243999999999999,0,1,12,15,19,11,14,17.98338983,5.924987000000001
mof_unit_pretest_166,3493.0439590000005,1590.89494,2668.13,2017.8606047981855,0.29915,0.3956,2,9,5,11,20,6,18,39.98476837,6.709109
mof_unit_pretest_167,2606.564805,1588.22184,0.0,0.0,0.16158,0.1597,5,12,10,10,8,9,11,45.61931697,7.129692
mof_unit_pretest_168,3965.486972,3457.3369310000003,0.0,0.0,0.10005,0.0690999999999999,3,4,6,1,8,1,11,145.8519469,7.965403
mof_unit_pretest_169,2794.123018,1731.516296,1362.92,1402.4847607062002,0.2522499999999999,0.2451,1,10,2,20,6,42,53,18.27376216,6.3325260000000005
mof_unit_pretest_170,3901.698032,2496.47388,1606.98,1707.3814937771974,0.3047199999999999,0.2868,4,2,11,2,2,40,40,32.63049637,6.678075
mof_unit_pretest_171,2238.476213,1286.21452,1315.13,1254.8052734807013,0.20177,0.2114999999999999,0,2,11,16,10,17,24,33.79252262,6.370807
mof_unit_pretest_172,6295.00468,2497.65156,3573.96,2354.681694337706,0.3757599999999999,0.5703,3,4,6,10,11,7,27,14.48579991,5.984911
mof_unit_pretest_173,6507.569306,3968.413472,1032.37,1045.3945103709655,0.19012,0.1877,1,10,2,6,20,43,43,20.35760586,5.662479
mof_unit_pretest_174,1217.118496,759.74904,0.0,0.0,0.11715,0.113,0,2,11,7,10,4,19,23.93358258,6.745928
mof_unit_pretest_175,5050.478542,2824.0108800000003,1106.59,1027.4656292699829,0.21035,0.2265,5,12,10,11,11,24,24,24.12071258,6.882797999999999
mof_unit_pretest_176,1683.937675,907.237693,2219.59,1985.704214972918,0.2803899999999999,0.3134,0,1,12,1,14,5,28,16.21914154,5.353354
mof_unit_pretest_177,1553.819902,1326.0009699999998,1062.57,1505.7311613987245,0.2492,0.1759,0,2,11,3,4,4,17,21.27608561,5.601234
mof_unit_pretest_178,1064.18815,751.30196,0.0,0.0,0.1664799999999999,0.1419999999999999,0,2,11,2,20,24,24,14.83235851,5.650265
mof_unit_pretest_179,2076.979732,1330.45852,1220.79,1298.5442987227254,0.2185,0.2054,5,12,10,3,7,1,10,27.03295143,5.803743
mof_unit_pretest_180,1337.750619,787.562083,1655.61,1618.506341870559,0.25835,0.2642999999999999,0,2,11,9,1,4,13,16.85115822,5.278165
